text,date,stock_label,predicted_effect,price_now,price_5min,price_10min,price_1h
RT @CDCtravel: #CDCTRAVELNOTICE: #Coronavirus in most of #Europe. CDC recommends avoiding all nonessential travel to most of Europe. More i…,2020-03-12 13:53:56+00:00,euro,decrease,1.1218,1.12408,1.1216,1.1149
"I will be signing our 738 Billion Dollar Defense Spending Bill today. It will include 12 weeks  Paid Parental Leave, gives our troops a raise, importantly creates the SPACE FORCE, SOUTHERN BORDER WALL FUNDING, repeals “Cadillac Tax” on Health Plans, raises smoking age to 21! BIG!",2019-12-20 14:19:20+00:00,dollar,increase,1.1086,1.10822,1.10856,1.10833
"RT @IvankaTrump: Latest: Day 1 
#PaycheckProtectionProgram numbers: 6,820 loans valued at more than $2,200,000,000. 

Are you a small busin…",2020-04-04 13:22:39+00:00,dollar,no change,,,,
"RT @stevenmnuchin1: #PPPloan UPDATE $400,000,000 originated. Thank you #communitybank #largebanks @SBAgov @USTreasury #CARESAct #SmallBusin…",2020-04-04 13:23:55+00:00,dollar,increase,,,,
RT @RepKenBuck: The President put America first by ensuring U.S. taxpayer dollars weren't funding Ukrainian corruption. Ukrainians didn't k...,2019-12-12 17:54:06+00:00,dollar,no change,1.11108,1.11101,1.11085,1.11082
"I also have constantly asked, “Why aren’t Germany, France and other European countries helping Ukraine more? They are the biggest beneficiaries. Why is it always the good ol’ United States?” The Radical Left, Do Nothing Democrats, never mention this at their phony hearing!",2019-12-12 16:05:26+00:00,euro,decrease,1.11195,1.1119,1.11134,1.11137
"RT @WhiteHouse: President Trump has been fighting for increased burden sharing by NATO members, and it's working. Over $130 billion in new...",2019-12-03 16:26:14+00:00,dollar,increase,1.10886,1.10902,1.10894,1.10864
"The Fed should lower rates (there is almost no inflation) and loosen, making us competitive with other nations, and manufacturing will SOAR! Dollar is very strong relative to others.",2019-12-02 22:21:21+00:00,dollar,increase,1.10812,1.10802,1.10804,1.10766
"Manufacturers are being held back by the strong Dollar, which is being propped up by the ridiculous policies of the Federal Reserve - Which has called interest rates and quantitative tightening wrong from the first days of Jay Powell!",2019-12-02 21:19:46+00:00,dollar,decrease,1.10787,1.108,1.10792,1.10794
"In the 3 decades before my election, NATO spending declined by two-thirds, and only 3 other NATO members were meeting their financial obligations. Since I took office, the number of NATO allies fulfilling their obligations more than DOUBLED, and NATO spending increased by $130B!",2019-12-02 18:17:15+00:00,dollar,no change,1.10706,1.10719,1.10724,1.10824
Heading to Europe to represent our Country and fight hard for the American People while the Do Nothing Democrats purposely scheduled an Impeachment Hoax hearing on the same date as NATO. Not nice! https://t.co/LCXYhoOWF6,2019-12-02 16:02:48+00:00,euro,decrease,1.10746,1.10794,1.10816,1.10748
".....Reserve should likewise act so that countries, of which there are many, no longer take advantage of our strong dollar by further devaluing their currencies. This makes it very hard for our manufactures &amp, farmers to fairly export their goods. Lower Rates &amp, Loosen - Fed!",2019-12-02 10:59:33+00:00,dollar,decrease,1.10117,1.10128,1.1015,1.10084
"When Jerome Powell started his testimony today, the Dow was up 125, &amp; heading higher. As he spoke it drifted steadily downward, as usual, and is now at -15. Germany &amp; other countries get paid to borrow money. We are more prime, but Fed Rate is too high, Dollar tough on exports.",2020-02-11 16:39:59+00:00,dollar,no change,1.0918,1.09143,1.09156,1.0921
"Starting early next week, at my order, the USA will be purchasing, from our Farmers, Ranchers &amp; Specialty Crop Growers, 3 Billion Dollars worth of Dairy, Meat &amp; Produce for Food Lines &amp; Kitchens. “FARMERS TO FAMILY FOOD BOX”  Great news for all!  @SecretarySonny @ZippyDuvall",2020-05-09 19:06:38+00:00,dollar,increase,,,,
"Impeachment King Steyer (how did that work out?) spent 200 Million Dollars and got less than 1% of the vote in Iowa, and only 3% of the Vote in New Hampshire. Could it be that something is just plain missing? Not easy to do what I did, is it?",2020-02-12 02:34:14+00:00,dollar,decrease,1.09194,1.09188,1.09178,1.09178
RT @RudyGiuliani: The Accounts Chamber in Ukraine found an alleged misuse of $5.3B in U.S. funds during the Obama administration while Bide...,2019-12-28 04:33:15+00:00,dollar,no change,,,,
"RT @TeamTrump: .@realDonaldTrump is strengthening our trade deals:✅Replaced outdated NAFTA✅USMCA will add $68B to U.S. economy &amp, create...",2019-12-31 22:27:06+00:00,dollar,increase,,,,
"Sohrab Ahmari, New York Post “The Trump Campaign raised $10 million in the two days following the impeachment (Scam) vote. It seems the Democrats have shot themselves in the foot in one more way. They set up a process they know is not going to lead to the Presidents removal, &amp,...",2020-01-02 13:42:41+00:00,dollar,decrease,1.11932,1.11938,1.11934,1.11727
"...the Fake News Media into not covering them, but that effort failed because the ratings are through the roof according to, of all sources, the Failing New York Times, “Monday Night Football, Bachelor Finale” type numbers (&amp; sadly, they get it $FREE). Trump Derangement Syndrome!",2020-04-08 14:42:25+00:00,dollar,decrease,1.08732,1.08729,1.0882,1.08705
"The United States has paid Iraq Billions of Dollars a year, for many years. That is on top of all else we have done for them. The people of Iraq don’t want to be dominated &amp, controlled by Iran, but ultimately, that is their choice. Over the last 15 years, Iran has gained more....",2020-01-03 15:09:32+00:00,dollar,decrease,1.11585,1.11618,1.11653,1.11648
"RT @CNBCnow: BREAKING: Democrats block McConnell’s effort to get unanimous support for $250 billion in additional small business aid 
https…",2020-04-10 04:58:26+00:00,dollar,no change,1.09382,1.09369,1.09361,1.0941
"RT @TIME: The $60,000 telegram that helped Abraham Lincoln abolish slavery https://t.co/9GAYCWbWhy",2020-05-11 01:55:15+00:00,dollar,no change,1.08465,1.08501,1.08476,1.0847
"Democrats are blocking a 251 Million Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason, with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts &amp; more. Big Economic Bounceback!",2020-04-10 11:19:50+00:00,dollar,no change,1.094,1.094,1.09402,1.09414
"Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason, with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts &amp; more. Big Economic Bounceback!",2020-04-10 11:32:26+00:00,dollar,no change,1.0939,1.09401,1.09384,1.09424
"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",2020-04-11 22:22:58+00:00,euro,decrease,,,,
RT @SteveScalise: #GoodNewsOfTheDay → The Trump Administration is sending over $10 MILLION to 36 Community Health Centers across Louisiana…,2020-05-12 00:05:57+00:00,dollar,increase,1.08089,1.08042,1.07986,1.07929
"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder where the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",2020-04-11 22:27:01+00:00,euro,decrease,,,,
"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",2020-04-11 23:34:58+00:00,euro,decrease,,,,
Would be sooo great if the Fed would further lower interest rates and quantitative ease. The Dollar is very strong against other currencies and there is almost no inflation. This is the time to do it. Exports would zoom!,2019-12-17 15:12:35+00:00,dollar,increase,1.11536,1.11536,1.11552,1.1157
RT @CLewandowski_: US House hopeful Mowers raised $354K in first quarter; campaign says it’s a primary record for a GOP candidate in NH. We…,2020-04-13 00:55:15+00:00,dollar,no change,1.09322,1.09304,1.09294,1.09298
"The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies &amp, deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",2018-01-01 12:12:00+00:00,dollar,decrease,1.20071,1.20071,1.20071,1.20071
"It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don’t even want to negotiate a long overdue...",2018-01-02 22:37:56+00:00,dollar,decrease,1.20568,1.2057,1.2057,1.20652
"“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known.” https://t.co/bmWrwWzxMR",2018-01-04 02:07:37+00:00,dollar,increase,1.20108,1.20095,1.2013,1.20162
"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",2018-01-05 11:35:30+00:00,dollar,increase,1.20522,1.20527,1.20512,1.20486
"Brian Ross, the reporter who made a fraudulent live newscast about me that drove the Stock Market down 350 points (billions of dollars), was suspended for a month but is now back at ABC NEWS in a lower capacity. He is no longer allowed to report on Trump. Should have been fired!",2018-01-06 11:57:35+00:00,dollar,decrease,,,,
"The Stock Market has been creating tremendous benefits for our country in the form of not only Record Setting Stock Prices, but present and future Jobs, Jobs, Jobs. Seven TRILLION dollars of value created since our big election win!",2018-01-07 20:42:13+00:00,dollar,increase,1.2028,1.2028,1.2028,1.2028
"""RT @Jim_Jordan: .@KellyannePolls said it best: """"I'm not going to be lectured by people who voted... to fork over $130 billion in cash to Ir...""",2020-01-07 00:39:02+00:00,dollar,decrease,1.11923,1.11917,1.11906,1.11951
"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!",2020-01-05 05:11:03+00:00,dollar,increase,1.1168,1.1168,1.1168,1.1168
"Tom Steyer who, other than Mini Mike Bloomberg, spent more dollars for NOTHING than any candidate in history, quit the race today proclaiming how thrilled he was to be a part of the the Democrat Clown Show. Go away Tom and save whatever little money you have left!",2020-03-01 05:30:08+00:00,dollar,decrease,1.10437,1.10437,1.10437,1.10437
"RT @WHO: @DrTedros @WHOWPRO @pahowho @WHO_Europe @WHOAFRO @WHOEMRO @WHOSEARO ""🔟 it’s normal &amp; understandable to feel anxious, especially if…",2020-03-02 12:28:57+00:00,euro,no change,1.11121,1.11067,1.1105,1.11231
Washington is wasting over $2 billion this year on Solyndra type loans. Yet they want to cut military spending.,2011-10-06 14:32:56+00:00,dollar,decrease,1.34284,1.34192,1.34108,1.34232
He says he will spend $1 B to get re-elected: @BarackObama. I can match him--preserving my options.,2011-12-14 15:01:17+00:00,dollar,no change,1.29794,1.29768,1.29784,1.29572
"I'm proud to accept the 2010 HollyRod Foundation Humanitarian Award from Holly Robinson Peete, who raised $700,000 on Celebrity Apprentice",2010-07-20 15:10:28+00:00,dollar,increase,1.29032,1.29056,1.29192,1.29098
"The Eric Trump Foundation has raised over $1,000,000 towards St. Jude Children's Research Hospital.  http://twitter.com/EricTrumpFdn",2010-06-24 18:44:46+00:00,dollar,increase,1.23388,1.23332,1.23368,1.23286
Great job on the Larry King Live Gulf Telethon last night--$1.3 million was raised in 2 hours.,2010-06-22 16:09:28+00:00,dollar,increase,1.23072,1.23144,1.23118,1.23134
Trump Tycoon App for iPhone & iPod Touch - It's $2.99 but the advice is priceless! http://bit.ly/UGUF0,2010-01-15 16:28:02+00:00,dollar,increase,1.43846,1.43788,1.43796,1.43774
He is destroying our country:@BarackObama has requested to raise our debt limit to over $16.4Trillion by the end (cont) http://t.co/A5DGJvhP,2011-12-28 20:13:37+00:00,dollar,decrease,1.29406,1.29322,1.2935,1.2936
"The habitual vacationer, @BarackObama, is now in Hawaii. This vacation is costing taxpayers $4 milion +++  while there is 20% unemployment.",2011-12-27 19:08:55+00:00,dollar,decrease,1.30724,1.3076,1.3074,1.30692
"The average family has spent $4,155 this year filling up the car on $3.50/gallon average. Both record highs. (cont) http://t.co/TdkHJRKA",2011-12-20 21:11:58+00:00,dollar,no change,1.30796,1.30787,1.30789,1.30812
"With a record deficit and $15 trillion in debt, @BarackObama is spending $4 million of our money on his Hawaii vacation. Just plain wrong.",2011-12-19 21:25:24+00:00,dollar,decrease,1.29987,1.29948,1.29959,1.30013
OPEC is setting crude at $94/barrel on 'signs US economy is improving.' OPEC uses any excuse to rip us off and our leaders just watch.,2011-12-16 21:12:15+00:00,dollar,decrease,1.30348,1.30361,1.30352,
This is what @BarackObama thinks: that America would be better off if we acted more like European socialist (cont) http://t.co/YbFa0LD6,2011-12-15 19:07:07+00:00,euro,no change,1.30196,1.30202,1.30202,1.3013
You know what is the worst part of @BarackObama's Tuesday speech playing class warfare--we paid for it with our tax dollars.,2011-12-08 20:25:16+00:00,dollar,decrease,1.33526,1.33568,1.33672,1.33463
Why doesn't OPEC lower the price of crude to help avert the European crisis? Crude keeps rising during the dow... (cont) http://t.co/seLDvy28,2011-12-01 20:15:04+00:00,euro,decrease,1.34624,1.34618,1.34706,1.34635
The Fed continues to recklessly flood the market with dollars. This will eventually create record inflation. It has to stop. #TimeToGetTough,2011-12-01 19:14:45+00:00,dollar,decrease,1.34668,1.34684,1.3473,1.34618
The banks were bailed out by us. They should start lending to private entrepreneurs. The banks are slowing American growth.,2011-11-29 20:14:31+00:00,euro,decrease,1.33281,1.33296,1.33318,1.3332
Washington will continue to run record deficits into the election. We are borrowing at a rate of $1.40 from China. Truly unsustainable.,2011-11-28 19:31:52+00:00,dollar,decrease,1.33218,1.33216,1.33218,1.33074
"Once Iran has nuclear weapons, they will shut down the Strait of Hormuz.  Oil will be over $300/Barrel. Iran'... (cont) http://t.co/IJwTmtkm",2011-11-28 16:03:02+00:00,dollar,decrease,1.33495,1.33442,1.33394,1.33364
"As of September 30th, we have a record trade deficit with China of over $217Billion. They are ripping us off.  #TimeToGetTough",2011-11-22 19:08:31+00:00,dollar,decrease,1.35228,1.35228,1.35205,1.35062
"The Federal deficit crossed $15Trillion, 100% of our GDP. Yet the Super Committee can't find $1.2Trillion i... (cont) http://t.co/e9BkXiS3",2011-11-17 18:51:34+00:00,dollar,decrease,1.34568,1.34598,1.34682,1.3474
"Crude is at $100/Barrel. With the current state of the world economy, how is that possible? OPEC is ripping of... (cont) http://t.co/BJW5fZyc",2011-11-16 20:50:18+00:00,dollar,decrease,1.34843,1.34829,1.34707,1.3459
"“When mistakes are made, and they will be, the entrepreneur’s true character emerges and further growth takes place.” – The Midas Touch.",2011-11-16 00:18:31+00:00,euro,no change,1.34963,1.35016,1.35021,1.35063
@BarackObama has already added $5 Trillion to the national debt in less than 3 years. We must defeat him in 2012. #TimeToGetTough,2011-11-15 17:02:45+00:00,dollar,decrease,1.35289,1.35362,1.35255,1.35424
"The Fed should not bail out the EU.  Europe's financial mess is their problem, not our problem!",2011-11-10 19:54:06+00:00,euro,decrease,1.35877,1.35791,1.3588,1.36014
The Federal government spent over $3.7 trillion last year. This is unsustainable and a true danger. The American dream is being destroyed.,2011-11-08 20:17:17+00:00,dollar,decrease,1.38391,1.38398,1.38329,1.38393
The Al Qaeda flag is now flying over Benghazi. @BarackObama spent over $3Billion of our money for this?,2011-11-01 19:17:16+00:00,dollar,decrease,1.37026,1.37056,1.37026,1.37007
Our economy cannot stay competitive with policies like these: @BarackObama is proposing over $90 Billion in new regulations.,2011-10-28 18:18:56+00:00,dollar,decrease,1.41614,1.41683,1.41733,1.41512
My interview yesterday with @TeamCavuto discussing Europe's debt deal and the GOP primary   http://t.co/1Tz0Hevr,2011-10-28 13:47:20+00:00,euro,no change,1.41442,1.41478,1.41472,1.41668
"In response to @Lawrence, my net worth is substantially more than 7 billion dollars--- very low debt, great as... (cont) http://t.co/2FON2L0U",2011-10-26 16:38:04+00:00,dollar,increase,1.38362,1.3829,1.38304,1.38646
"""So much for creating American jobs--@BarackObama gave $529 Million to a """"Green"""" car company---so they can be manufactured in Finland.""",2011-10-24 20:11:08+00:00,dollar,no change,1.39311,1.39236,1.39225,1.39295
The Dollar is at an all-time WWII low against the Yen. The Fed's recklessness is going to lead to record inflation.,2011-10-24 16:39:52+00:00,dollar,no change,1.39207,1.39207,1.39156,1.39356
Why is  crude oil priced at $86/Barrel?  OPEC is  ripping us off. Not worth $30/Barrel.  America needs new leaders.,2011-10-21 13:23:48+00:00,dollar,decrease,1.38772,1.38828,1.38814,1.38832
We must stop outsourcing our jobs overseas and end our multi-billion dollar trade deficits.,2011-10-20 16:09:54+00:00,dollar,decrease,1.36706,1.36736,1.3662,1.3706
Late last Friday @BarackObama announced his 2011 budget deficit  was $1.299 trillion -- the second largest in US history.,2011-10-17 20:52:12+00:00,dollar,no change,1.37313,1.37348,1.37422,1.37323
How many  more billions of dollars will @BarackObama continue to waste in these solar companies?,2011-09-30 17:27:58+00:00,dollar,decrease,1.34466,1.34504,1.34538,1.34274
The Fed's reckless policies of low interest and flooding the market with dollars needs to be stopped or we will face record inflation.,2011-09-29 19:24:04+00:00,dollar,decrease,1.35609,1.35639,1.35662,1.3584
It seems @BarackObama had our tax dollars buy guns for Mexican drug lords that were used to kill Americans. We need answers now.,2011-09-27 19:32:23+00:00,dollar,decrease,1.36036,1.36074,1.35922,1.35879
ObamaCare is a major threat to America's entrepreneurial spirit and competitiveness. Small businesses will b... (cont) http://t.co/xCf3TMcV,2011-09-26 15:59:30+00:00,euro,decrease,1.3516,1.34948,1.34888,1.34611
The Solyndra Scandal--@BarackObama's $500Million photo op. He loves wasting our money.,2011-09-15 15:43:03+00:00,dollar,decrease,1.38566,1.38586,1.3848,1.38774
"""I watched POTUS speech from Europe---same old """"tax and spend"""" won't create jobs.""",2011-09-09 17:41:24+00:00,euro,decrease,1.36898,1.36877,1.36845,1.36744
China is happy to learn that @BarackObama plans to borrow another $300 Billion. @BarackObama is their favorite client.,2011-09-08 17:23:42+00:00,dollar,increase,1.39168,1.39249,1.39072,1.38978
@BarackObama trillion $ stimulus was supposed to create jobs -- instead it gave us more debt and higher unemployment.,2011-09-06 20:23:34+00:00,dollar,decrease,1.39932,1.39888,1.39896,1.39974
"With gas prices rising and the economy failing,  @BarackObama seeks to have his EPA raise energy prices by $109B  http://t.co/vcM5gmd",2011-08-31 18:01:54+00:00,dollar,decrease,1.43715,1.43726,1.4373,1.43759
Crude is at $85 right now – isn’t even worth half that. OPEC is ripping us off.,2011-08-29 18:39:38+00:00,dollar,decrease,1.45029,1.4498,1.44989,1.45119
@BarackObama inherited $10.6 Trillion in National Debt---will leave after his first term with the Debt at over $17.6 Trillion.,2011-08-25 15:54:53+00:00,dollar,no change,1.43754,1.43794,1.43754,1.43694
We have spent over $1 Billion on the  Libya operation. What are we getting back?,2011-08-24 18:02:54+00:00,dollar,decrease,1.44216,1.44224,1.44256,1.44203
We  spent over a billion on Libya and lead the way---why is Europe getting the oil?,2011-08-23 15:57:52+00:00,euro,no change,1.44272,1.44258,1.44237,1.44236
Ron Paul is right that we are wasting trillions of dollars in Iraq and Afghanistan.,2011-08-13 13:28:58+00:00,dollar,decrease,1.42485,1.42485,1.42485,1.42485
The Fed continues to flood the market with US dollars. Wrong move.,2011-08-10 19:26:21+00:00,dollar,decrease,1.42054,1.41994,1.42002,1.41923
Oil is starting to rise again despite the horrible times. OPEC continues to rip us off. Not worth $30. New leadership needed.,2011-08-10 18:25:17+00:00,dollar,decrease,1.42334,1.42354,1.42312,1.42086
The S&P are losers. They did this for personal publicity in order to straighten out their terrible reputatio... (cont) http://deck.ly/~PgL6v,2011-08-09 17:40:33+00:00,sp500,decrease,1139.8,1140.1,1138.6,1109.0
My interview yesterday on the S&P downgrade with Wolf Blitzer on CNN  http://bit.ly/nXfqVo,2011-08-09 16:02:37+00:00,sp500,no change,1149.8,1148.8,1148.3,1141.3
The S&P downgrade is a direct result of @BarackObama's increased reckless budget spending and Obama Care. He owns this.,2011-08-08 15:12:48+00:00,sp500,decrease,1166.4,1163.9,1161.7,1158.7
Unfortunately@BarackObama's continued attack on the US $ will lead to ever rising gas prices at the pump and lots of other really bad things,2011-07-25 14:36:26+00:00,dollar,decrease,1.434,1.43456,1.43476,1.43679
Every dollar @BarackObama spends costs $1.40 with interest borrowed from China on our children and grandchildren's backs. CUT-CAP-BALANCE!,2011-07-18 18:51:33+00:00,dollar,decrease,1.40782,1.40804,1.40898,1.41188
@BarackObama You have increased discretionary spending by 25% annually and amassed over $4 trillion in debt. T-E-A http://t.co/Wr9C7Z7,2011-07-15 19:23:36+00:00,dollar,decrease,1.41398,1.41448,1.4147,1.41585
"House GOP wants to cut Medicare, Obama took $500 billion from Medicare for Obamacare. Both Wrong!",2011-07-08 16:24:15+00:00,dollar,decrease,1.42604,1.4255,1.42546,1.4235
ObamaCare Tragedy Primed to Further Explode the Deficit  http://t.co/wRxqlxA  And @Obama transferred $500 billion from Medicare to fund it!,2011-07-08 16:22:30+00:00,dollar,decrease,1.42648,1.42552,1.42572,1.42334
I want to see people make lots of $$ and live better lives. I really think they can do that through TheTrumpNetwork http://trumpnetwork.com/,2011-03-21 17:39:47+00:00,dollar,increase,1.42166,1.42154,1.42142,1.42305
I always enjoy watching young entrepreneurs enter the business world.  I can tell who reads my books and who doesn’t.  #MidasTouch,2012-12-28 20:23:47+00:00,euro,increase,1.32206,1.322,1.32236,1.32207
“Donald Trump’s Miss USA Pageant Scores $5 Million Legal Victory Following Rigged Claims” http://t.co/FeYJJi2A via @eonline,2012-12-18 18:48:27+00:00,dollar,no change,1.32294,1.32284,1.32284,1.32224
"I still don't get how @KarlRove spent $400 million &amp, lost all.",2012-12-10 22:48:33+00:00,dollar,decrease,1.29388,1.29399,1.29406,1.29376
